Order ID,Date,Product ID,Product Name,Category,Quantity Sold,Price per Unit,Customer ID,Customer Age,Customer Gender,Region,Total Sales Amount
41270ca0,9/17/2024,P9917,involve,Electronics,2,402.05,C7514,46,Other,South America,804.1
1e5201d0,1/30/2024,P4892,art,Toys,3,342.44,C4784,58,Male,Europe,1027.32
748aee27,11/2/2024,P3533,available,Groceries,6,223.93,C5702,63,Other,Asia,1343.58
e494fd33,10/30/2024,P9935,learn,Groceries,10,108.83,C2168,43,Female,Africa,1088.3
1962763a,5/4/2024,P9847,relationship,Electronics,6,285.88,C4420,19,Male,Asia,1715.28
f6070f85,5/8/2024,P9533,southern,Groceries,3,264.01,C5793,65,Female,South America,792.03
5ed16d57,8/23/2024,P7955,yourself,Groceries,8,34.93,C5370,64,Other,Asia,279.44
f03fe395,3/29/2024,P3385,use,Electronics,9,175.96,C2918,61,Female,Europe,1583.64
7cd648a8,2/4/2024,P2569,another,Electronics,5,32.29,C6575,27,Other,South America,161.45
247b9084,7/12/2024,P9859,well,Electronics,2,291.22,C6762,21,Other,Europe,582.44
bbbbdff4,9/14/2024,P1400,statement,Toys,7,363.01,C5314,63,Other,Europe,2541.07
ad35bbd5,3/6/2024,P3288,position,Toys,8,461.18,C7584,50,Male,Europe,3689.44
ab189aad,2/23/2024,P1454,test,Clothing,4,220.45,C2596,64,Male,Asia,881.8
71a9628c,12/2/2024,P9598,phone,Clothing,3,235.78,C7062,58,Other,South America,707.34
c468fc84,11/7/2024,P3822,hair,Groceries,3,215.11,C6645,40,Other,Africa,645.33
5531aa2e,5/2/2024,P1854,air,Electronics,7,465.09,C9102,39,Male,Europe,3255.63
75b5d8a5,2/7/2024,P3135,maintain,Groceries,1,317.53,C6760,27,Other,South America,317.53
fe0074f4,11/12/2024,P5255,contain,Toys,5,321.99,C6118,31,Male,North America,1609.95
b735e0a2,4/15/2024,P7638,tend,Toys,4,164.71,C9241,49,Female,Asia,658.84
c86d651a,3/18/2024,P6202,financial,Groceries,8,297.2,C4363,29,Male,North America,2377.6
20a4f956,1/27/2024,P2519,shoulder,Clothing,2,352.18,C4917,43,Male,Asia,704.36
8c3a137f,2/5/2024,P9536,item,Furniture,10,111.81,C9646,65,Male,Asia,1118.1
664cb920,6/1/2024,P5681,mouth,Toys,1,156.86,C8343,64,Male,North America,156.86
db4f8065,7/13/2024,P6080,herself,Clothing,10,210.27,C5820,48,Other,North America,2102.7
bd361cd8,6/16/2024,P4163,it,Clothing,4,413.59,C4867,42,Other,Asia,1654.36
c4559aaf,1/2/2024,P1447,finally,Toys,7,336.36,C1356,19,Female,Africa,2354.52
ca87be21,6/1/2024,P8864,nothing,Toys,9,470.57,C5153,29,Female,North America,4235.13
cf3d6ac5,4/21/2024,P1956,and,Groceries,5,163.78,C3404,27,Male,Asia,818.9
95236740,10/22/2024,P6996,after,Furniture,6,457.85,C8166,26,Other,North America,2747.1
dda2702b,11/1/2024,P4532,central,Groceries,6,26.32,C8652,70,Female,South America,157.92
f9496478,2/22/2024,P9796,term,Furniture,3,493.3,C7064,58,Female,Africa,1479.9
7a75f292,1/28/2024,P3600,huge,Clothing,3,497.96,C6949,35,Female,South America,1493.88
9b49586f,5/11/2024,P7929,air,Electronics,4,163.58,C6210,53,Female,South America,654.32
644dd708,11/29/2024,P8606,discussion,Groceries,7,381.78,C6698,68,Female,North America,2672.46
3c92f67f,3/21/2024,P9429,will,Furniture,2,411.75,C4096,22,Female,Asia,823.5
41e990c5,8/8/2024,P8677,piece,Groceries,4,344.04,C3465,59,Other,Europe,1376.16
3da25b51,7/17/2024,P3862,administration,Toys,1,31.71,C3649,42,Female,Africa,31.71
11967f76,8/6/2024,P4005,admit,Electronics,9,72.96,C5918,38,Male,South America,656.64
2e4b2ff9,11/20/2024,P7656,theory,Furniture,6,144.47,C9994,27,Female,South America,866.82
cdf7f64e,3/6/2024,P4166,attention,Electronics,10,186.12,C2412,62,Male,Asia,1861.2
9cc5a26c,2/21/2024,P5637,magazine,Groceries,1,452.3,C9549,63,Female,Africa,452.3
60882149,9/9/2024,P3159,magazine,Furniture,3,316.03,C3898,53,Other,South America,948.09
0ca51263,4/23/2024,P6344,style,Toys,6,108.41,C3878,37,Other,Africa,650.46
5b3047ed,10/5/2024,P2414,us,Groceries,10,466.22,C9671,47,Male,Asia,4662.2
40ffd600,1/17/2024,P1999,standard,Electronics,4,406.77,C2189,62,Other,Africa,1627.08
c6d48b62,8/8/2024,P1760,show,Groceries,7,62.4,C3168,35,Female,North America,436.8
c1c8586c,1/9/2024,P9181,table,Furniture,7,107.95,C1570,38,Female,Africa,755.65
4f7523ed,6/30/2024,P9662,same,Clothing,6,263.9,C2057,27,Other,Europe,1583.4
888cfc41,6/12/2024,P8692,travel,Clothing,7,185.23,C5723,28,Other,South America,1296.61
d48a181f,11/20/2024,P4030,soldier,Clothing,2,465.8,C8422,21,Male,Asia,931.6
cecdef30,4/23/2024,P3698,health,Clothing,6,193.83,C7906,36,Male,North America,1162.98
3765a17c,11/27/2024,P8471,either,Furniture,5,434.86,C7164,42,Female,Europe,2174.3
29d6f20f,2/6/2024,P1325,hand,Groceries,3,169.28,C6810,27,Female,Africa,507.84
bbebbb61,6/9/2024,P9589,operation,Electronics,2,187.08,C7063,48,Female,Europe,374.16
a1f55ac1,8/22/2024,P8530,lose,Furniture,8,89.38,C2597,41,Other,North America,715.04
8c7773cd,9/6/2024,P8914,picture,Clothing,6,150.47,C3000,63,Female,Africa,902.82
b86771bf,4/8/2024,P2227,provide,Groceries,3,471.62,C7986,20,Male,Asia,1414.86
6ec2a24d,5/25/2024,P9335,man,Toys,3,243.16,C3911,50,Female,North America,729.48
269ffa8d,2/15/2024,P3022,test,Electronics,6,452.54,C5110,31,Female,Africa,2715.24
060cbafb,2/12/2024,P1427,they,Clothing,1,129.28,C3323,21,Other,Asia,129.28
9c57445b,8/6/2024,P6644,his,Toys,5,46.97,C4306,30,Male,Europe,234.85
62de6540,3/23/2024,P5912,process,Toys,6,161.15,C9178,50,Male,South America,966.9
fbf62711,8/8/2024,P4945,into,Clothing,1,70.14,C8540,31,Female,Asia,70.14
cef5c393,3/6/2024,P7768,also,Groceries,8,402.33,C9407,63,Male,South America,3218.64
1ac7294b,8/1/2024,P4436,Democrat,Furniture,7,459.77,C1630,67,Male,Asia,3218.39
4506b0ea,3/29/2024,P5579,charge,Toys,9,122.6,C4486,51,Female,Asia,1103.4
46c191fb,2/19/2024,P8415,test,Furniture,8,469.92,C7007,65,Female,Europe,3759.36
fb540bde,10/24/2024,P8463,her,Furniture,8,79.3,C2345,54,Other,Europe,634.4
43ffc087,6/1/2024,P4644,board,Groceries,6,429.27,C2695,46,Other,South America,2575.62
25512d71,3/29/2024,P2502,happy,Toys,1,281.22,C5572,64,Male,South America,281.22
ba5fdaa4,6/30/2024,P2396,southern,Clothing,5,318.97,C2319,26,Female,North America,1594.85
0ba80507,7/2/2024,P4020,situation,Toys,10,221.57,C7774,21,Female,Africa,2215.7
777d0eff,1/24/2024,P7289,something,Clothing,1,37.06,C2271,69,Other,South America,37.06
27a41600,4/27/2024,P2092,small,Toys,6,350.26,C2615,66,Other,North America,2101.56
73fba797,6/30/2024,P4776,choose,Electronics,10,18.96,C4158,57,Male,North America,189.6
33596d7e,5/6/2024,P4042,protect,Groceries,7,196.15,C8775,24,Other,Asia,1373.05
20aeb197,6/19/2024,P5045,later,Toys,9,483.49,C3160,52,Female,North America,4351.41
ee397582,2/19/2024,P8653,certain,Clothing,1,90.18,C3529,70,Male,South America,90.18
fc18f975,2/3/2024,P6345,claim,Clothing,2,58.13,C9119,40,Male,Europe,116.26
924dbdd4,12/2/2024,P6925,public,Groceries,6,151.8,C1673,45,Male,Africa,910.8
7fd0f820,2/21/2024,P3677,pretty,Furniture,9,221.12,C3252,30,Female,North America,1990.08
df9d6a39,9/5/2024,P3524,whole,Groceries,5,449.88,C8003,34,Female,Asia,2249.4
0d74abfd,8/21/2024,P8878,eight,Toys,10,211.11,C8359,23,Male,Europe,2111.1
d27b85b6,6/20/2024,P3371,cause,Groceries,9,56.71,C2468,37,Male,Europe,510.39
1d7b72b8,10/2/2024,P8606,note,Groceries,7,319.78,C7491,65,Male,North America,2238.46
8460d90b,9/16/2024,P3595,ready,Electronics,10,365.89,C2311,60,Male,Asia,3658.9
9b65e0f4,6/19/2024,P3582,task,Electronics,9,470.02,C2310,65,Other,South America,4230.18
1e8e6cf0,5/19/2024,P4996,reason,Clothing,9,393.96,C3091,33,Male,Asia,3545.64
37b7f47d,6/20/2024,P5519,word,Clothing,10,114.25,C3738,45,Other,Europe,1142.5
ecd0b27c,4/7/2024,P2597,like,Electronics,5,343.18,C6095,67,Other,North America,1715.9
b442c34a,2/14/2024,P1351,approach,Furniture,2,252.18,C2444,67,Female,South America,504.36
89599c51,2/11/2024,P8427,become,Toys,9,475.3,C9685,27,Male,Europe,4277.7
91a23d04,7/31/2024,P7474,war,Electronics,7,315.83,C9976,43,Male,Africa,2210.81
61840737,8/28/2024,P3591,close,Furniture,7,453.26,C1106,57,Other,South America,3172.82
0e7ae07b,2/26/2024,P7710,seek,Electronics,5,166.35,C3531,28,Other,Europe,831.75
256a8e58,9/25/2024,P6235,store,Furniture,9,47.26,C3443,22,Male,Africa,425.34
3a2e0fce,2/15/2024,P3076,food,Groceries,4,145.33,C8707,18,Female,Europe,581.32
e35de5d7,4/2/2024,P3755,class,Toys,2,40.36,C7957,58,Other,North America,80.72
75490bf6,5/21/2024,P6607,skill,Electronics,4,272.16,C7992,46,Male,Asia,1088.64
65a945f3,11/8/2024,P9645,during,Clothing,10,12.71,C5203,53,Female,North America,127.1
86f7b979,5/8/2024,P3039,herself,Groceries,5,271.02,C6297,19,Male,North America,1355.1
3ad3b05e,6/22/2024,P1104,west,Furniture,3,229.52,C7205,19,Other,South America,688.56
3e47a7d3,8/19/2024,P6014,compare,Toys,8,85.35,C5390,40,Male,Asia,682.8
0a0554ee,1/4/2024,P4231,could,Clothing,6,444.58,C3480,68,Male,Europe,2667.48
8ca86ef5,11/1/2024,P7860,sister,Furniture,6,256.8,C2821,23,Other,Africa,1540.8
662a995f,7/8/2024,P3103,become,Electronics,5,77.68,C8243,59,Female,Asia,388.4
573c5ad0,1/4/2024,P3190,build,Electronics,8,290.57,C2095,55,Female,Asia,2324.56
12dfa910,2/7/2024,P1057,to,Toys,10,114.01,C8943,55,Female,North America,1140.1
49af9197,3/15/2024,P6502,generation,Furniture,1,42.26,C5255,34,Female,Africa,42.26
063a61d5,10/21/2024,P8477,write,Furniture,1,357.6,C5846,47,Other,Asia,357.6
e610164b,4/10/2024,P6409,audience,Electronics,9,311.81,C8902,18,Female,South America,2806.29
b32e8cad,8/27/2024,P1121,focus,Toys,4,470.8,C1795,28,Female,North America,1883.2
e4df0697,12/1/2024,P5589,side,Electronics,1,98.08,C3748,29,Male,Africa,98.08
c7b718fa,4/16/2024,P9770,difference,Groceries,2,477.34,C8486,20,Other,South America,954.68
22170849,5/23/2024,P8505,color,Furniture,8,36.67,C1516,49,Female,North America,293.36
dafca1e9,1/17/2024,P3344,per,Toys,10,90.93,C8260,42,Other,South America,909.3
81be1084,11/8/2024,P2532,respond,Electronics,3,280.62,C5026,63,Male,Europe,841.86
ea2559da,9/13/2024,P6368,president,Groceries,7,99.2,C7160,51,Other,North America,694.4
c3a62055,8/29/2024,P3140,fight,Clothing,4,13.43,C6177,28,Male,Africa,53.72
e6ba1c5c,7/12/2024,P4140,own,Electronics,8,273.21,C7554,28,Female,Europe,2185.68
66b8be65,11/6/2024,P8188,six,Furniture,2,298.57,C5126,28,Male,Asia,597.14
4ddc6447,6/3/2024,P3604,goal,Electronics,1,441.17,C6037,66,Male,South America,441.17
e23f2588,11/2/2024,P8111,evening,Furniture,3,111.21,C5975,28,Female,South America,333.63
d78e41e1,10/30/2024,P3415,son,Groceries,7,46.07,C1999,38,Other,Asia,322.49
78bb8e0b,5/23/2024,P9371,successful,Furniture,1,56.64,C1273,44,Male,South America,56.64
addbdf0c,5/26/2024,P6987,think,Electronics,8,263.84,C4296,25,Other,Asia,2110.72
a38f7143,11/21/2024,P1354,hair,Toys,6,194.72,C6424,27,Female,Asia,1168.32
f171e10e,10/28/2024,P5216,important,Clothing,7,204.85,C5618,34,Female,Asia,1433.95
9ddebd49,2/8/2024,P7818,cell,Groceries,3,271.88,C3235,54,Female,South America,815.64
6f063126,2/29/2024,P9447,store,Clothing,3,124.06,C5199,68,Other,Africa,372.18
3a1da176,5/29/2024,P2291,heavy,Furniture,4,353.57,C5753,54,Female,Europe,1414.28
7a9a153c,9/13/2024,P9002,debate,Groceries,10,360.33,C3841,37,Female,South America,3603.3
9acf3e9b,2/25/2024,P1881,guy,Clothing,5,74.38,C8625,53,Male,Europe,371.9
58611b44,4/16/2024,P5466,property,Toys,10,44.24,C9872,31,Male,Europe,442.4
0273e404,2/17/2024,P8466,wonder,Furniture,7,60.75,C3996,27,Other,Africa,425.25
921302c3,2/5/2024,P2138,leave,Groceries,6,40.8,C2243,22,Male,South America,244.8
dc321668,7/30/2024,P8173,collection,Furniture,4,180.15,C2284,43,Male,Europe,720.6
3d51ce5f,4/4/2024,P5619,agency,Clothing,8,416.64,C8874,65,Male,Europe,3333.12
2efa1858,5/18/2024,P9871,already,Furniture,4,474.24,C9127,20,Female,South America,1896.96
e296e72c,3/12/2024,P6003,sound,Electronics,6,334.64,C5901,19,Female,North America,2007.84
0419c916,3/11/2024,P2758,owner,Groceries,4,468.75,C7764,48,Other,North America,1875
984d388b,8/20/2024,P7890,discuss,Electronics,4,390.55,C1228,55,Female,Europe,1562.2
cf561167,11/18/2024,P3814,poor,Toys,9,349.5,C7074,28,Male,Europe,3145.5
5282ed88,7/14/2024,P1584,note,Clothing,7,159.55,C5114,39,Male,Africa,1116.85
8206f00a,12/2/2024,P9772,free,Electronics,7,470.94,C6325,62,Male,Asia,3296.58
3638abbf,1/27/2024,P8718,religious,Furniture,6,276.69,C4930,51,Male,Africa,1660.14
30de3f64,11/6/2024,P9826,whether,Electronics,9,316.67,C1910,63,Female,Asia,2850.03
f463fd15,5/13/2024,P8425,stuff,Clothing,8,459.64,C9676,45,Female,Europe,3677.12
19114254,4/8/2024,P6927,environmental,Electronics,6,34.26,C5538,47,Female,Europe,205.56
3ec8984d,1/16/2024,P7208,leader,Electronics,7,55.16,C2411,30,Male,Africa,386.12
d43f3fb1,1/14/2024,P5265,view,Toys,7,202.54,C1001,44,Other,Europe,1417.78
ddf24a3a,1/31/2024,P4629,ground,Electronics,1,59.37,C2123,49,Other,Asia,59.37
6441c775,5/29/2024,P7092,note,Groceries,8,445.73,C1156,42,Male,Africa,3565.84
2ba21eea,4/13/2024,P3979,less,Clothing,2,106.14,C3251,70,Other,Europe,212.28
6d91282c,10/25/2024,P9333,lead,Electronics,2,245.68,C9276,58,Female,South America,491.36
cd13a900,12/3/2024,P5930,return,Furniture,10,152.11,C5464,67,Male,Asia,1521.1
ffb52d1c,7/28/2024,P9990,option,Toys,2,205.84,C2484,53,Other,North America,411.68
30735ee4,5/2/2024,P9981,person,Furniture,4,457.52,C7034,35,Other,North America,1830.08
5d91245a,9/27/2024,P7823,partner,Furniture,6,295.17,C3114,24,Other,Europe,1771.02
7bd12beb,1/20/2024,P5901,same,Electronics,1,373.41,C2900,29,Male,North America,373.41
ac13f7ff,6/14/2024,P7781,management,Groceries,10,371.72,C9781,53,Male,Asia,3717.2
a55e0cbe,11/8/2024,P6743,second,Groceries,1,275.4,C3693,20,Other,Asia,275.4
5e99d9ce,6/18/2024,P2018,small,Furniture,5,280.74,C7286,39,Male,Asia,1403.7
56f80d9f,9/13/2024,P1460,feeling,Clothing,4,471.13,C8689,32,Female,North America,1884.52
dbe44824,10/19/2024,P3515,street,Electronics,1,56.05,C2318,50,Male,North America,56.05
fd5f2221,3/2/2024,P7930,hundred,Toys,7,152.94,C9002,48,Female,Africa,1070.58
5735db94,7/8/2024,P1120,fine,Clothing,4,13.98,C1051,24,Female,South America,55.92
ba3e59d4,3/2/2024,P6019,he,Clothing,8,208.56,C7497,55,Female,Europe,1668.48
aede4601,2/5/2024,P5571,director,Electronics,9,219.73,C4901,54,Male,South America,1977.57
7a794107,8/25/2024,P7477,arrive,Groceries,2,410.31,C8384,39,Other,Europe,820.62
6c32af54,5/29/2024,P8429,animal,Toys,6,114.95,C5020,66,Other,Africa,689.7
1dda42cd,12/3/2024,P1639,couple,Clothing,2,80.96,C5771,30,Other,Africa,161.92
01c40719,9/14/2024,P1821,off,Toys,10,270.99,C9526,21,Female,North America,2709.9
f17fbe68,9/15/2024,P6369,community,Furniture,9,272.33,C9840,36,Other,South America,2450.97
10c56871,8/16/2024,P4663,ever,Furniture,7,389.53,C9231,27,Male,Asia,2726.71
ae143450,5/11/2024,P5956,point,Groceries,3,158.99,C3884,61,Female,Asia,476.97
ce715bec,10/30/2024,P6148,feel,Furniture,2,376.06,C9274,25,Female,Africa,752.12
18206c67,10/7/2024,P1528,thought,Toys,10,161.42,C8762,22,Female,South America,1614.2
af8a42b9,5/15/2024,P5416,claim,Electronics,5,242.05,C5011,42,Female,North America,1210.25
57b612bc,10/21/2024,P4008,wife,Groceries,1,369.19,C2463,62,Male,North America,369.19
6fc1c70c,11/8/2024,P1662,this,Furniture,10,65.99,C8467,46,Other,Asia,659.9
8f021d4e,9/8/2024,P9181,window,Toys,8,426.37,C5136,41,Other,Europe,3410.96
5c6e133a,3/1/2024,P4260,miss,Clothing,3,295.33,C5005,53,Female,Asia,885.99
d965864f,7/18/2024,P3124,could,Toys,4,355.79,C8036,36,Female,Asia,1423.16
f1116fd7,8/2/2024,P9041,turn,Groceries,7,187.82,C2167,69,Female,Africa,1314.74
2a33131a,1/21/2024,P2147,president,Furniture,8,274.21,C4623,42,Other,South America,2193.68
965263b9,7/2/2024,P1524,kid,Clothing,6,391.11,C6323,63,Other,Africa,2346.66
20ab96a6,7/5/2024,P7469,support,Toys,7,252.67,C4750,47,Female,North America,1768.69
10284471,6/12/2024,P7340,notice,Toys,7,105.83,C6841,61,Male,South America,740.81
97a4b5da,6/20/2024,P9695,line,Furniture,7,278.81,C8960,31,Male,Africa,1951.67
462f4ffd,2/19/2024,P7163,carry,Furniture,7,189.56,C7437,41,Other,Europe,1326.92
b3238c85,5/13/2024,P6349,seek,Furniture,8,154.22,C3809,47,Female,North America,1233.76
e09d75a2,7/20/2024,P6283,provide,Electronics,8,453.65,C1578,46,Male,North America,3629.2
709c95f8,4/20/2024,P8664,story,Clothing,6,117.01,C2762,67,Other,North America,702.06
8412eba7,2/23/2024,P9805,hard,Furniture,7,163.05,C1965,63,Female,North America,1141.35
139d9e22,10/13/2024,P1328,collection,Toys,10,180.71,C8598,50,Male,Europe,1807.1
6d3018e6,2/2/2024,P9340,land,Furniture,9,62.4,C3731,48,Other,North America,561.6
c22aaa3f,7/15/2024,P2195,heavy,Electronics,4,195.59,C7305,39,Male,Africa,782.36
753fb3bf,8/31/2024,P4042,big,Groceries,5,73.81,C4380,26,Male,Europe,369.05
aaaa818b,4/13/2024,P4002,they,Toys,1,253.63,C8823,20,Male,Europe,253.63
ae547ea8,2/29/2024,P8442,house,Clothing,1,384.68,C5208,60,Female,North America,384.68
a4be6e28,1/12/2024,P5272,own,Groceries,10,123.31,C7649,54,Other,Asia,1233.1
73eee83a,11/27/2024,P9706,back,Clothing,9,370.41,C9789,54,Male,North America,3333.69
b6f73ddd,3/18/2024,P3805,serve,Groceries,5,89.66,C4486,54,Other,North America,448.3
b674aac0,1/26/2024,P8534,base,Clothing,5,141.74,C3849,41,Female,South America,708.7
7d5373b5,7/13/2024,P5596,just,Toys,6,270.22,C3118,30,Female,Asia,1621.32
5c7afffd,11/26/2024,P1875,run,Clothing,6,187.22,C2833,26,Female,North America,1123.32
1769945d,1/9/2024,P6464,business,Toys,9,273.23,C4772,33,Female,Asia,2459.07
330abb49,1/8/2024,P8487,community,Clothing,7,31.19,C1897,36,Other,Europe,218.33
a5e6ec01,9/14/2024,P8303,pressure,Furniture,3,28.33,C4512,67,Female,Asia,84.99
5889e69c,6/8/2024,P7490,yourself,Electronics,7,237.41,C3821,36,Other,South America,1661.87
8323d145,9/3/2024,P3420,family,Furniture,6,53.97,C7751,43,Male,Asia,323.82
a8dbcfd9,11/23/2024,P9798,friend,Furniture,1,465.38,C4612,61,Other,South America,465.38
1fa761ca,5/26/2024,P1320,camera,Clothing,6,292.38,C6846,33,Female,South America,1754.28
76ed404a,4/2/2024,P3534,citizen,Electronics,7,361.85,C5102,64,Other,South America,2532.95
944dcf34,10/20/2024,P2604,century,Groceries,4,177.47,C7074,40,Other,Europe,709.88
52370635,10/27/2024,P4900,resource,Groceries,5,434.64,C7453,28,Female,Europe,2173.2
b8cb2318,11/21/2024,P3004,process,Groceries,3,493.7,C6298,49,Male,South America,1481.1
